file1 file2 flip runtime closed open 
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_1 8 0 325 706
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_10 5 0 69 233
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_11 8 0 338 739
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_12 5 0 58 180
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_13 6 0 140 404
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_14 4 0 43 156
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_15 6 0 96 265
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_16 4 0 36 143
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_17 5 0 59 186
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_18 6 0 97 284
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_19 7 0 206 485
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_2 5 0 72 234
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_3 5 0 57 172
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_4 9 1 585 1116
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_5 6 0 159 429
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_6 5 0 58 176
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_7 4 0 23 83
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_8 6 0 140 391
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_9 5 0 64 199
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_10 7 0 143 378
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_11 8 0 229 545
