file1 file2 flip runtime
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_1 8 24
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_10 5 20
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_11 8 44
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_12 5 8
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_13 6 10
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_14 4 6
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_15 6 10
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_16 4 6
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_17 5 9
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_18 6 10
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_19 7 14
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_2 5 9
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_3 5 7
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_4 9 241
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_5 6 9
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_6 5 7
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_7 4 7
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_8 6 10
../data/random_experiments_paper/n_10/set_0/triangulation/t_0 ../data/random_experiments_paper/n_10/set_0/triangulation/t_9 5 9
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_10 7 11
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_11 8 14
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_12 9 30
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_13 4 5
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_14 5 9
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_15 8 12
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_16 4 5
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_17 7 11
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_18 8 12
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_19 3 1
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_2 5 8
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_3 8 12
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_4 7 12
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_5 8 19
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_6 7 10
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_7 10 27
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_8 8 13
../data/random_experiments_paper/n_10/set_0/triangulation/t_1 ../data/random_experiments_paper/n_10/set_0/triangulation/t_9 10 26
../data/random_experiments_paper/n_10/set_0/triangulation/t_10 ../data/random_experiments_paper/n_10/set_0/triangulation/t_11 7 16
../data/random_experiments_paper/n_10/set_0/triangulation/t_10 ../data/random_experiments_paper/n_10/set_0/triangulation/t_12 4 7
../data/random_experiments_paper/n_10/set_0/triangulation/t_10 ../data/random_experiments_paper/n_10/set_0/triangulation/t_13 5 8
../data/random_experiments_paper/n_10/set_0/triangulation/t_10 ../data/random_experiments_paper/n_10/set_0/triangulation/t_14 7 11
../data/random_experiments_paper/n_10/set_0/triangulation/t_10 ../data/random_experiments_paper/n_10/set_0/triangulation/t_15 5 7
../data/random_experiments_paper/n_10/set_0/triangulation/t_10 ../data/random_experiments_paper/n_10/set_0/triangulation/t_16 3 4
../data/random_experiments_paper/n_10/set_0/triangulation/t_10 ../data/random_experiments_paper/n_10/set_0/triangulation/t_17 4 6
../data/random_experiments_paper/n_10/set_0/triangulation/t_10 ../data/random_experiments_paper/n_10/set_0/triangulation/t_18 7 11
../data/random_experiments_paper/n_10/set_0/triangulation/t_10 ../data/random_experiments_paper/n_10/set_0/triangulation/t_19 8 17
../data/random_experiments_paper/n_10/set_0/triangulation/t_10 ../data/random_experiments_paper/n_10/set_0/triangulation/t_2 7 14
../data/random_experiments_paper/n_10/set_0/triangulation/t_10 ../data/random_experiments_paper/n_10/set_0/triangulation/t_3 4 6
../data/random_experiments_paper/n_10/set_0/triangulation/t_10 ../data/random_experiments_paper/n_10/set_0/triangulation/t_4 7 14
../data/random_experiments_paper/n_10/set_0/triangulation/t_10 ../data/random_experiments_paper/n_10/set_0/triangulation/t_5 7 11
