file1 file2 flip runtime closed open 
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_1 17 894 189692 377300
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_10 10 32 7767 23536
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_11 9 12 3095 10431
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_12 20 1759 364786 636539
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_13 14 208 49103 118440
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_14 13 140 33553 83021
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_15 18 1162 250152 483461
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_16 14 189 45847 110465
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_17 15 325 77355 171627
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_18 11 42 10206 29864
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_19 11 42 10185 29755
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_2 12 53 13037 36154
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_3 14 278 65915 148843
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_4 10 22 5432 17567
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_5 16 633 143260 309386
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_6 9 13 3247 11650
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_7 10 35 8499 25966
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_8 17 803 180103 365943
../data/random_experiments_paper/n_15/set_0/triangulation/t_0 ../data/random_experiments_paper/n_15/set_0/triangulation/t_9 19 1352 282477 509551
../data/random_experiments_paper/n_15/set_0/triangulation/t_1 ../data/random_experiments_paper/n_15/set_0/triangulation/t_10 14 192 45213 103763
